공약순위
순위
공약
방안
공공
성공
양자
ㄴ
ㄹ
ㅁ
가
가량
가운데
가칭
가화
각
각종
간
감
강
강력
개
개
개별
개월
거
건
검
것
게
격
격
경
경요
경우
계속
고
곳
공
공
공약
과
과
과거
관
관
관
관련
교
구
구간
국
국
국
권
권
그
그날
그동안
그리
그중
극
금
급
기
기간
기반
기본
기존
까지
끝
나가야
날
남은
내
내 공공
내부
내외
녀
년
년대
년차
노
농
다
다음
다차
단
단계
단기
닷
당
대
대한
대해
덕
덕분
데
도
도록
돌
동
드
득
등
디
따라서
때
때문
또
또한
래
량
로
로
로
로
로써
률
를
리
리보
만
만연
만원
만큼
망
망
망 시
맞추
맡
매
매년
매월
명
명
모
모든
목
목표
무
무
무자
문
물
미
미만
믹
민
민이
및
바
바로
밖
반
발
방
방법
배
번
벌
범
범위
별
별도
보
보니
보비
봄
봄이
봉
부터
분
불
불
비
빅
뿐
뿐
사
산다
살
상
새
서
서로
서로
석
선
설
성
성 강
세기
세로
소
속
손
송
수
숙
순간
순위
시
시
시
시기
시기
식
신
신
실
실
실상
실질
쌍
아
아래
안
안고
앞
애초
액
액
양
양의
얼마
업
여
여개
여원
연간
연도
열
영
예
예외
예정
오
오늘
오미
오전
온
온종일
완전
외
용
울
원
월
월
위
위
위주
위해
위해
육
율
융
으로
을
을
의
의
이
위한
있는
이든
이루
이상
이어
이외
이전
이하
이행
이후
인
인당
일
일자
임
임
임기
자
장
재
재원
저
적
적
적인
전
전
전년
전량
전반
전후
절반
점
정 공공
정도
정하
제
제 성공
제외
조
조 양자
조달
조에
존
종
좌
주
죽지
중
중심
즉시
증
지
직
징
차
차
차이
창
창
채
처
철
청
청 구
체
초
초기
최
최
최대한
최종
최초
추
축
충분
치
코
탈
탈
터
테
톤
통하
통한
통해
투
투
특
파
팔
펜
평
평생
폐
포
표
피
피아
필
필요
필요시
하
하나로
하하
학
한
함
합
항
항
해고자
행
형
호
호
호로
혼
화
화
화요일
활
회
회
후
후 현
후분
기호
공약
순위
목표
이행
방법
재원
조달
기간
및
등
위
대한
통한
개
비
강
통해
인
수
중
목
표
전
연
관
로
입
무
내
물
교
영
직
처
임
후
회
것
내
의
를
적
불
통
항
중인
용
분
년
거나
먀년
대의
약
가량
이
또
때문
이
퍼
함
재
뿐
만
안
더
란
차
수가
자
률
원
명
평
비
중
별
범
친
총
실
비롯
시
의
를
존
감
어진
위해
체
최
청
또한
그
각
국
정
습
이상
이하
미만
초과
그동안
따라서
온
새
이
때
앞
제
선
거나
고하
버
초
시
원
상
월
주
석
액
직
호
명
보
각
현
재
령
민
외
노
은
단
업
곳
건
반
어
지
과
에
을
한
하여
가구
호로
그대로
것이므
므
만큼
개월
이전
이후
오히려
공공
성공
양자
소한
변
저리
모두
딥
다가
만호
확
다른
준
걸
콘
등를
계
것임
직후
년년
증를
유
킬
택
론
산
료
큐
레이
션
냉
작
졸
첫
충
생
협
트
립하
년생
낼
회월월
볼
혁
즉
엄
빼
퇴
슬
진
택하
난
로서
년도
면
혼하
다소
역시
최소한
켜
넷째
브
잡
해
더욱이
년제
둘
듬
람
워
한참
년층
벗
만천
음
턱
규
렀습
풀
지고
그로
심
못
움
류
탕
티
네
억
환
며
대하
이내
하나
시스
크게
결코
낱낱이
이제
결
타나
억대
년청
려
갖
추어
록
요
려움



